Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR,Name-additional
690,Eduardo Salazar,26,TOT,29.1,26,26,3,0,1,0,0,0,,3,3,13,5,38%,,.506,2,7,17,6,1,19,8,18,10,8,10,3,3.4,19,salazed01
691,Eduardo Salazar,26,LAD,2.0,1,1,1,0,0,0,0,0,,0,0,0,0,,7,.229,0,0,1,0,0,1,0,1,1,0,1,0,6.0,45,salazed01
692,Eduardo Salazar,26,WSN,27.1,25,25,2,0,1,0,0,0,,3,3,13,5,38%,8,.529,2,7,16,6,1,18,8,17,9,8,9,3,3.3,18,salazed01
693,Bryan Sammons*,29,DET,27.1,6,6,0,1,1,0,0,0,,0,0,6,0,0%,2,.863,1,3,2,1,2,3,3,3,6,0,6,0,13.7,62,sammobr01
694,Sixto Sánchez,25,MIA,35.2,14,7,2,0,1,1,0,1,0%,2,1,2,0,0%,8,.909,2,3,2,2,0,5,1,6,1,1,2,0,3.1,19,sanchsi01
695,Nick Sandlin,27,CLE,57.2,68,67,7,8,0,4,1,3,25%,13,9,45,17,38%,6,1.058,22,20,25,30,10,27,29,38,9,29,14,13,2.5,15,sandlni01
696,Cole Sands,26,MIN,71.1,62,62,11,9,1,7,4,3,57%,14,5,25,11,44%,7,.923,21,14,27,25,11,26,18,44,22,17,23,9,3.5,19,sandsco01
697,Miguel Sanó,31,LAA,0.1,1,1,1,0,0,0,0,0,,0,0,3,0,0%,9,.000,0,0,1,0,0,1,1,0,0,1,0,0,1.0,3,sanomi01
698,Dennis Santana,28,TOT,71.2,62,62,20,3,1,3,3,0,100%,15,12,31,7,23%,,.795,14,20,28,26,5,31,20,42,21,10,23,8,3.5,18,santade01
699,Dennis Santana,28,NYY,27.1,23,23,7,2,0,2,2,0,100%,3,1,10,1,10%,8,.663,2,7,14,8,2,13,8,15,9,4,11,2,3.6,19,santade01
700,Dennis Santana,28,PIT,44.1,39,39,13,1,1,1,1,0,100%,12,11,21,6,29%,8,.884,12,13,14,18,3,18,12,27,12,6,12,6,3.4,17,santade01
701,Tony Santillan,27,CIN,30.0,29,28,2,3,3,2,0,2,0%,7,5,16,2,13%,7,1.341,13,6,9,11,10,7,10,18,6,6,9,4,3.1,17,santito01
702,Gregory Santos,24,SEA,7.1,8,8,1,0,1,1,0,1,0%,3,2,1,0,0%,8,1.162,3,2,3,6,2,0,1,7,1,3,1,0,2.8,14,santogr01
703,Tayler Saucedo*,31,SEA,38.2,53,53,11,2,0,5,3,2,60%,12,7,42,18,43%,8,.949,16,7,30,23,4,26,27,26,4,32,6,11,2.2,12,sauceta01
704,Matt Sauer,25,KCR,16.1,14,14,8,0,0,0,0,0,,0,0,1,0,0%,9,.155,0,1,13,9,0,5,1,13,3,1,3,2,3.5,23,sauerma01
705,Josh Sborz,30,TEX,16.1,17,17,3,2,2,0,0,0,,9,8,7,1,14%,6,1.451,6,9,2,12,3,2,4,13,3,6,7,0,2.9,17,sborzjo01
706,John Schreiber,30,KCR,51.2,59,59,5,4,3,5,2,3,40%,29,23,26,7,27%,7,1.591,31,18,10,35,13,11,17,42,4,18,5,11,2.6,15,schrejo01
707,Tanner Scott*,29,TOT,72.0,72,72,41,9,6,24,22,2,92%,35,11,19,0,0%,,2.067,42,15,15,44,21,7,17,55,8,8,9,19,3.0,16,scottta01
708,Tanner Scott*,29,MIA,45.2,44,44,35,6,5,20,18,2,90%,21,1,7,0,0%,9,2.281,31,5,8,24,15,5,10,34,6,3,6,9,3.1,17,scottta01
709,Tanner Scott*,29,SDP,26.1,28,28,6,3,1,4,4,0,100%,14,10,12,0,0%,8,1.718,11,10,7,20,6,2,7,21,2,5,3,10,2.8,15,scottta01
710,Tayler Scott,32,HOU,68.2,62,61,11,7,3,3,0,3,0%,13,9,27,10,37%,6,.954,16,13,32,27,6,28,19,42,16,16,19,12,3.2,19,scottta02
711,Colin Selby,26,TOT,7.0,5,5,2,0,0,0,0,0,,0,0,4,1,25%,,.526,1,1,3,2,0,3,2,3,3,0,3,1,4.2,22,selbyco01
712,Colin Selby,26,KCR,3.0,2,2,1,0,0,0,0,0,,0,0,0,0,,9,.187,0,0,2,1,0,1,0,2,1,0,1,1,4.5,25,selbyco01
713,Colin Selby,26,BAL,4.0,3,3,1,0,0,0,0,0,,0,0,4,1,25%,5,.820,1,1,1,1,0,2,2,1,2,0,2,0,4.0,21,selbyco01
714,Paul Sewald,34,ARI,39.2,42,42,34,1,2,20,16,4,80%,21,1,6,2,33%,9,1.275,17,7,18,34,1,7,4,38,2,5,2,7,2.8,15,sewalpa01
